,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
11331,260190023,4,2,10.29,93.1354,-56.4992,0,"[array([1.00809348, 1.00635958, 1.00558221, ..., 1.01131344, 1.01222444,
       1.01340353]), array([1517.36457236, 1517.37707224, 1517.3888777 , ..., 1541.97050691,
       1541.98231223, 1541.99481199])]"
2754,38812653,4,3,10.58,67.6535,-63.6079,0,"[array([0.99946135, 1.00129914, 1.00259757, ..., 1.00229907, 1.00158489,
       1.00297987]), array([1517.3645421 , 1517.3763475 , 1517.38745846, ..., 1541.96911614,
       1541.98092156, 1541.99342142])]"
18939,405393047,2,4,11.12,128.7808,-12.4734,0,"[array([1.00910044, 1.00522637, 1.00543737, ..., 0.99893701, 0.99798733,
       0.99875093]), array([1517.36868736, 1517.38188187, 1517.39299303, ..., 1541.97455404,
       1541.98635912, 1541.99885862])]"
9896,186925437,2,2,15.17,134.0236,-32.0419,0,"[array([0.96405244, 1.01091993, 0.9806236 , ..., 1.0308907 , 1.01545501,
       1.01862538]), array([1517.36749522, 1517.37999547, 1517.39180125, ..., 1541.9738647 ,
       1541.98567006, 1541.99816986])]"
3925,59652418,3,2,10.53,109.5463,-42.9036,0,"[array([1.03411269, 1.03424978, 1.02422667, ..., 1.01422334, 1.01403606,
       1.01389825]), array([1517.37383466, 1517.38772347, 1517.39952896, ..., 1541.97205207,
       1541.98385727, 1541.99635689])]"
4133,62572014,1,4,9.84,133.659,-0.1583,0,"[array([1.0096426 , 1.01070404, 1.00973105, ..., 0.99823797, 0.99811631,
       0.99839926]), array([1517.79280309, 1517.81085879, 1517.82266444, ..., 1541.97506425,
       1541.98686932, 1541.99936879])]"
14758,306829238,4,1,14.36,122.164,-67.8577,0,"[array([0.92820668, 0.9146806 , 0.89303315, ..., 1.04235172, 1.06670856,
       1.05680335]), array([1517.36489187, 1517.37669764, 1517.38780896, ..., 1541.97087635,
       1541.98268203, 1541.99518216])]"
1555,25836980,2,2,11.06,145.7111,-32.7592,0,"[array([1.00768983, 1.00198162, 1.00059295, ..., 0.99849665, 1.00065184,
       1.00078106]), array([1517.36737179, 1517.37987222, 1517.39167819, ..., 1541.9741501 ,
       1541.98595566, 1541.99845566])]"
9445,179214959,4,3,9.59,79.2926,-68.1346,0,"[array([0.99210739, 0.99045348, 0.98867971, ..., 1.00607181, 1.00683379,
       1.00725901]), array([1517.36331746, 1517.37581742, 1517.38762294, ..., 1541.96953074,
       1541.98133627, 1541.99383623])]"
4456,77558785,1,3,8.93,152.5091,-0.0891,0,"[array([0.99318892, 0.99274457, 0.99280536, ..., 1.00242758, 1.00269186,
       1.00241745]), array([1517.3689581 , 1517.38145854, 1517.39326452, ..., 1541.97559469,
       1541.98740011, 1541.99989997])]"
12776,278684936,4,2,5.72,99.0643,-55.8629,0,"[array([1.02024424, 1.01924181, 1.0183475 , ..., 0.95693529, 0.95653099,
       0.95683151]), array([1517.36482235, 1517.37732229, 1517.38912778, ..., 1541.97082833,
       1541.98263367, 1541.99513345])]"
10147,190337425,2,2,8.34,132.8142,-36.4479,0,"[array([0.99456716, 0.99500537, 0.99480027, ..., 1.00900221, 1.00887394,
       1.00919569]), array([1517.36714906, 1517.3796493 , 1517.39145508, ..., 1541.97354603,
       1541.98535142, 1541.99785125])]"
2527,38508792,4,3,10.17,62.2884,-65.301,0,"[array([1.01736069, 1.01676989, 1.01658106, ..., 1.0050683 , 1.00567269,
       1.00571096]), array([1517.51773431, 1517.5309286 , 1517.54551176, ..., 1541.96888892,
       1541.98069438, 1541.99319427])]"
10526,220478846,4,3,12.75,75.889,-56.5114,0,"[array([0.99192625, 1.00198627, 0.98592448, ..., 1.0303061 , 1.0294224 ,
       1.02733409]), array([1517.36386592, 1517.37636568, 1517.38817101, ..., 1541.96959804,
       1541.98140332, 1541.99390303])]"
3058,46825189,1,2,8.62,142.2487,-7.2077,0,"[array([0.99551773, 1.00018148, 0.9975    , ..., 0.99974167, 0.99972385,
       0.99998647]), array([1517.36543592, 1528.94588462, 1517.38835312, ..., 1541.97523017,
       1541.98703545, 1541.99953515])]"
15460,319477267,3,3,9.18,100.5929,-49.8609,0,"[array([0.99425972, 0.9942776 , 0.99755859, ..., 0.99973822, 0.99951559,
       1.00004077]), array([1517.36951086, 1517.37645524, 1517.39867726, ..., 1541.97119447,
       1541.98299971, 1541.99549939])]"
10013,189299718,2,3,8.06,141.8691,-25.416,0,"[array([0.9986217 , 1.00023723, 0.99905503, ..., 1.00363612, 1.00358927,
       1.00293446]), array([1517.36794094, 1517.38044129, 1517.39224718, ..., 1541.97449566,
       1541.98630108, 1541.99880095])]"
15017,308599430,4,1,10.17,121.3224,-64.472,0,"[array([0.99924976, 0.99777293, 0.99674964, ..., 1.00229216, 1.00167608,
       1.00243223]), array([1517.3645167 , 1517.37701691, 1517.38951712, ..., 1541.97111847,
       1541.9829241 , 1541.99542417])]"
18075,382042802,4,2,8.64,79.1733,-56.4599,0,"[array([0.99787647, 0.99708909, 0.99537504, ..., 1.00764406, 1.00735879,
       1.00787592]), array([1517.36401589, 1517.37651566, 1517.38832101, ..., 1541.96977693,
       1541.98158221, 1541.99408192])]"
16925,350027507,4,1,9.18,114.7279,-64.3096,0,"[array([0.99501175, 0.99575311, 0.99777627, ..., 0.99703443, 0.9973017 ,
       0.99827486]), array([1517.36444962, 1517.37694977, 1517.38875547, ..., 1541.97094281,
       1541.98274839, 1541.99524842])]"
10236,196316892,2,1,13.45,125.5594,-25.9256,0,"[array([1.00178504, 0.9690125 , 1.00540853, ..., 0.99645036, 0.99204731,
       0.98456627]), array([1517.40883161, 1517.42341503, 1517.43522065, ..., 1541.97383412,
       1541.98563929, 1541.99813888])]"
11168,255746712,3,3,9.71,99.4869,-52.6022,0,"[array([0.9955889 , 0.99525905, 0.995592  , ..., 1.00226879, 1.00223589,
       1.00317192]), array([1517.36508976, 1517.37758966, 1517.38939513, ..., 1541.97100232,
       1541.98280761, 1541.99530732])]"
14351,300158108,4,1,10.66,108.792,-68.4983,0,"[array([0.99735463, 0.99551088, 0.99479485, ..., 0.99921489, 0.9993059 ,
       0.99925232]), array([1517.36397403, 1517.37369636, 1517.3848076 , ..., 1541.97048823,
       1541.98229385, 1541.99479392])]"
14914,308308548,3,4,11.61,120.232,-61.3371,0,"[array([1.02091253, 1.01932514, 1.01797271, ..., 1.02569818, 1.02322972,
       1.02427542]), array([1517.36479873, 1517.37729892, 1517.38910465, ..., 1541.97131936,
       1541.98312493, 1541.99562495])]"
9218,177164901,4,1,8.71,104.3744,-68.3493,0,"[array([1.0000006 , 0.99883407, 0.99821925, ..., 1.00389266, 1.00349915,
       1.00337541]), array([1517.36391176, 1517.37641187, 1517.38821753, ..., 1541.97036861,
       1541.98217421, 1541.99467425])]"
808,14309060,1,3,7.54,144.6172,-2.928,0,"[array([0.99861211, 0.99744487, 0.99671578, ..., 0.99927801, 0.99920517,
       0.99944609]), array([1517.36556502, 1517.37945426, 1517.39264904, ..., 1541.9753952 ,
       1541.98720049, 1541.9997002 ])]"
