,ID,b,t_max,tau,umin,Amax,Dmag,fbl,I_bl,I0,start_day,t_max_new,n,m,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
0,2008-0001,0,2455963.35,26.566,0.376,2.801,1.118,0.434,18.32,19.227,2455260.75,630,628,744,0.013135444347979131,0.0007647144801219143,-0.01719332290224231,-0.001435730108614722,0.004435828436135217,0.0012952995115860333,-0.0005585850369125014,-0.0010039641601027023,-0.0002073934578812599,0.00042885374141416854,0.0005844006525394653,0.00011994919716733126,-0.00020048365271397575,-0.00026204812577929716,-1.8666885055247607e-05,0.0001147580157377712,9.942587408178662e-05,-2.496500197691468e-05,-7.481266400276963e-05,-2.8850340034495817e-05,2.5593127852505222e-05,4.2868876686686906e-05,-3.2820040730242543e-06,-1.9193704168384173e-05,-2.5625442788175828e-05,6.3778920313125695e-06
1,2008-0002,0,2456000.806,37.415,0.394,2.683,1.071,0.787,17.015,17.276,2455260.75,672,605,832,0.008978606307273256,0.003878839774617586,-0.013483833787371337,-0.0074940787318619325,0.006644142096567516,0.006657947197505583,-0.0026428152840484173,-0.00522154697214071,-4.605234908532728e-05,0.003458466182902429,0.00122083460840237,-0.0019274394524548732,-0.0013605324243113294,0.0009452133525303078,0.0012285633085978285,-0.00026512234453517016,-0.0008767725002506846,-6.068380182550497e-05,0.0005480173310834282,0.00017412928470737947,-0.0003027940620340488,-0.0001949804208482885,0.00014373576166613295,0.00013776277297634375,-5.36413911605123e-05,-0.00014773833066426497
2,2008-0003,0,2455948.445,22.645,0.0,45049.6,11.634,1.0,18.521,18.521,2455260.75,627,622,727,0.022594675789971753,0.0019957989261941474,-0.02927271763569017,-0.003474537615062191,0.006796080697397327,0.0021972569166589712,-0.00011813601981843199,-0.0008134931034515199,-0.00040875019340732226,4.007386083185423e-05,0.00035161809008392084,0.00023315775642853906,7.880695455772054e-05,-0.00012351410640574028,-0.00011064721831042162,-8.10674663864863e-05,2.9616911764231924e-05,3.883767960563015e-05,5.137861345687378e-05,1.8709074697288594e-06,-2.787568117331506e-06,-1.7528327723829813e-05,1.99796093480784e-06,2.5382632611932687e-06,9.182619017494001e-06,1.1790761896553445e-06
3,2008-0004,0,2455971.038,15.706,0.181,5.606,1.872,1.0,20.093,20.093,2455260.75,605,700,729,0.02699393659454018,-0.000246819892280249,-0.03660318257978561,0.016993326537416906,0.007263755430081395,0.0005426502396174121,0.00014259304692089872,0.0013332664596135357,0.0006600406170957408,-0.001197123205527219,0.0005033727173337217,-0.002807937476307876,0.00029336819825922654,-0.0037574211655189557,0.0002921162438679111,-0.0038725800965636816,0.00018951809125225365,-0.0031997317467228584,0.00013825260933502813,-0.0021579982109571337,8.250380342927995e-05,-0.001120359650528389,3.2017709455616184e-05,-0.00042216193442795374,1.1707517465782861e-05,-8.7109857885869e-05
4,2008-0005,0,2455948.853,179.801,0.157,6.439,2.022,0.044,17.063,20.464,2455261.0,627,541,837,0.0044371365452549145,-0.0004191448626305945,-0.005733280870826458,0.0010528080067591804,0.002232527633687909,-0.0010943392394472476,-0.0011616204541418321,0.000771047607826389,5.5428146379957856e-05,-0.0003346612036250874,5.4821222984150915e-05,4.829518520677514e-05,-4.750670709588878e-05,4.2049337533773314e-05,3.074786202664497e-05,-5.666387156762738e-05,0.00026134596662387617,-0.0001302801820462719,-4.17362056972207e-05,0.00011057455452887929,-8.918726314188744e-05,9.704682288278306e-05,-4.689293878462043e-05,-8.458404992705175e-05,3.79328910214096e-05,-4.695445646305039e-05
5,2008-0006,0,2455978.918,32.359,1.214,1.223,0.219,1.0,17.096,17.096,2455260.75,685,649,814,0.00419344128099626,-0.0007118458684646754,-0.005329814826765308,0.001544070892556325,0.0014612400258169325,-0.0010986125707209374,-0.00048468212317697064,0.0003559383694804686,5.6080601570382414e-05,-0.0001382614585744401,8.408000235336198e-05,5.8795180749168334e-05,-6.525733011168002e-06,3.201165331160746e-05,3.6140453645944204e-05,-1.0154131744309389e-05,3.3766817906776e-05,2.0210237018978826e-05,-3.9522171156590506e-05,-4.265344084720425e-05,5.288645420696535e-07,5.8621069890761085e-06,1.4988624695122785e-05,1.007822968950787e-05,-2.6786316430311984e-05,-3.6740175557311226e-05
6,2008-0007,0,2455969.378,28.609,1.405,1.157,0.159,1.0,16.902,16.902,2455260.75,677,604,774,0.005527561311634699,-0.0011642257728597149,-0.005742222230485112,0.0015204289027948453,-0.0005076351480868746,-0.00013412210675361585,0.0006055545219521742,-0.00015838693284709335,-6.550652546614089e-05,-0.00015309572330397816,0.00020261981730550387,0.00011034301400852582,-2.088951360772814e-05,-8.530882548798796e-05,1.1382755056494742e-05,0.00010647749948459053,2.312573576418807e-05,-8.199765378458117e-05,-8.890261151710846e-05,1.0298707390568514e-05,7.412771828819129e-05,3.2762339962959696e-05,-2.6506119265928754e-05,-2.8457401888617744e-05,1.023704123645932e-05,3.1504636350463265e-05
7,2008-0008,0,2455947.495,34.773,1.39,1.162,0.163,1.0,15.109,15.109,2455260.75,668,614,830,0.0031354282512384584,-0.0014981490734590883,-0.003769564425587613,0.0026571901537786463,0.00038099146624577697,-0.0014246813576260541,0.0003686933152667987,0.00032533603264497257,-0.00023912644255298397,-9.49258680785665e-05,0.0001448629671513181,3.915969229203339e-05,-6.342963958431745e-05,-7.238928003507695e-06,4.030009587792955e-05,1.5506554850471822e-05,2.5308459567936743e-06,-3.049463366647529e-06,-1.1217004795375656e-05,-9.249102571166271e-06,7.024326479509857e-06,2.415403035832267e-06,3.835365293978467e-06,9.296286084803291e-06,1.3233949355902952e-05,-1.3774634918407426e-05
8,2008-0009,0,2455989.398,115.449,0.213,4.772,1.697,0.546,17.208,17.865,2455260.75,701,531,967,0.01343510999331101,-0.0014704188565844959,-0.01988802441676531,0.003789414293560575,0.011320422391599548,-0.004286299145293218,-0.00718739724833971,0.0038381140949665287,0.003351930467257407,-0.003132127050513195,-0.002115199549052712,0.002173238048476609,0.0012592778405305068,-0.0019410095517797873,-0.0004067741799224302,0.0016367185788882983,6.0616230222945644e-05,-0.0009692236232421934,0.0002464451274054924,0.0006713953448264662,-0.00014584664209315104,-0.0005545698770739307,0.0001477663507973998,0.0002595460441969665,-0.00034685681407255024,-0.0002590627512169297
9,2008-0010,0,2455987.296,75.724,0.074,13.631,2.836,1.0,19.735,19.735,2455264.75,549,600,813,0.03317787386145126,0.0024282427375534495,-0.03827551462942638,-0.008757369276571668,0.00892073321011314,0.014264019434893048,-0.008247840735116228,-0.012207643193053824,0.004006681864713387,0.007499326661317961,0.0005234859003583885,-0.005269336730794174,-0.0005530993398458943,0.0040426179036304475,0.0022064443861522774,-0.0023370125331614562,-0.002451309422499495,0.000918386503434366,0.0019189300397283698,-0.0002271127956746213,-0.0016553660774985036,-0.00028587674696397544,0.0010724745084714578,0.00032274643240982616,-0.0010818851643715182,-0.0008193346297240049
